Zipcode,Year,Crime rate per 1000
85001,2018,57.67
85001,2019,56.76
85001,2020,51.71
85001,2021,56.86
85001,2022,53.64
85001,2023,48.42
85002,2018,57.67
85002,2019,56.76
85002,2020,51.71
85002,2021,56.86
85002,2022,53.64
85002,2023,48.42
85003,2018,57.67
85003,2019,56.76
85003,2020,51.71
85003,2021,56.86
85003,2022,53.64
85003,2023,48.42
85004,2018,57.67
85004,2019,56.76
85004,2020,51.71
85004,2021,56.86
85004,2022,53.64
85004,2023,48.42
85005,2018,57.67
85005,2019,56.76
85005,2020,51.71
85005,2021,56.86
85005,2022,53.64
85005,2023,48.42
85006,2018,57.67
85006,2019,56.76
85006,2020,51.71
85006,2021,56.86
85006,2022,53.64
85006,2023,48.42
85007,2018,57.67
85007,2019,56.76
85007,2020,51.71
85007,2021,56.86
85007,2022,53.64
85007,2023,48.42
85008,2018,57.67
85008,2019,56.76
85008,2020,51.71
85008,2021,56.86
85008,2022,53.64
85008,2023,48.42
85009,2018,57.67
85009,2019,56.76
85009,2020,51.71
85009,2021,56.86
85009,2022,53.64
85009,2023,48.42
85010,2018,57.67
85010,2019,56.76
85010,2020,51.71
85010,2021,56.86
85010,2022,53.64
85010,2023,48.42
85011,2018,57.67
85011,2019,56.76
85011,2020,51.71
85011,2021,56.86
85011,2022,53.64
85011,2023,48.42
85012,2018,57.67
85012,2019,56.76
85012,2020,51.71
85012,2021,56.86
85012,2022,53.64
85012,2023,48.42
85013,2018,57.67
85013,2019,56.76
85013,2020,51.71
85013,2021,56.86
85013,2022,53.64
85013,2023,48.42
85014,2018,57.67
85014,2019,56.76
85014,2020,51.71
85014,2021,56.86
85014,2022,53.64
85014,2023,48.42
85015,2018,57.67
85015,2019,56.76
85015,2020,51.71
85015,2021,56.86
85015,2022,53.64
85015,2023,48.42
85016,2018,57.67
85016,2019,56.76
85016,2020,51.71
85016,2021,56.86
85016,2022,53.64
85016,2023,48.42
85017,2018,57.67
85017,2019,56.76
85017,2020,51.71
85017,2021,56.86
85017,2022,53.64
85017,2023,48.42
85018,2018,57.67
85018,2019,56.76
85018,2020,51.71
85018,2021,56.86
85018,2022,53.64
85018,2023,48.42
85019,2018,57.67
85019,2019,56.76
85019,2020,51.71
85019,2021,56.86
85019,2022,53.64
85019,2023,48.42
85020,2018,57.67
85020,2019,56.76
85020,2020,51.71
85020,2021,56.86
85020,2022,53.64
85020,2023,48.42
85021,2018,57.67
85021,2019,56.76
85021,2020,51.71
85021,2021,56.86
85021,2022,53.64
85021,2023,48.42
85022,2018,57.67
85022,2019,56.76
85022,2020,51.71
85022,2021,56.86
85022,2022,53.64
85022,2023,48.42
85023,2018,57.67
85023,2019,56.76
85023,2020,51.71
85023,2021,56.86
85023,2022,53.64
85023,2023,48.42
85024,2018,57.67
85024,2019,56.76
85024,2020,51.71
85024,2021,56.86
85024,2022,53.64
85024,2023,48.42
85025,2018,55.56
85025,2019,54.57
85025,2020,49.62
85025,2021,54.65
85025,2022,51.74
85025,2023,46.73
85026,2018,57.67
85026,2019,56.76
85026,2020,51.71
85026,2021,56.86
85026,2022,53.64
85026,2023,48.42
85027,2018,57.67
85027,2019,56.76
85027,2020,51.71
85027,2021,56.86
85027,2022,53.64
85027,2023,48.42
85028,2018,57.67
85028,2019,56.76
85028,2020,51.71
85028,2021,56.86
85028,2022,53.64
85028,2023,48.42
85029,2018,57.67
85029,2019,56.76
85029,2020,51.71
85029,2021,56.86
85029,2022,53.64
85029,2023,48.42
85030,2018,57.67
85030,2019,56.76
85030,2020,51.71
85030,2021,56.86
85030,2022,53.64
85030,2023,48.42
85031,2018,57.67
85031,2019,56.76
85031,2020,51.71
85031,2021,56.86
85031,2022,53.64
85031,2023,48.42
85032,2018,57.67
85032,2019,56.76
85032,2020,51.71
85032,2021,56.86
85032,2022,53.64
85032,2023,48.42
85033,2018,57.67
85033,2019,56.76
85033,2020,51.71
85033,2021,56.86
85033,2022,53.64
85033,2023,48.42
85034,2018,57.67
85034,2019,56.76
85034,2020,51.71
85034,2021,56.86
85034,2022,53.64
85034,2023,48.42
85035,2018,57.67
85035,2019,56.76
85035,2020,51.71
85035,2021,56.86
85035,2022,53.64
85035,2023,48.42
85036,2018,57.67
85036,2019,56.76
85036,2020,51.71
85036,2021,56.86
85036,2022,53.64
85036,2023,48.42
85037,2018,57.67
85037,2019,56.76
85037,2020,51.71
85037,2021,56.86
85037,2022,53.64
85037,2023,48.42
85038,2018,57.67
85038,2019,56.76
85038,2020,51.71
85038,2021,56.86
85038,2022,53.64
85038,2023,48.42
85039,2018,55.56
85039,2019,54.57
85039,2020,49.62
85039,2021,54.65
85039,2022,51.74
85039,2023,46.73
85040,2018,57.67
85040,2019,56.76
85040,2020,51.71
85040,2021,56.86
85040,2022,53.64
85040,2023,48.42
85041,2018,57.67
85041,2019,56.76
85041,2020,51.71
85041,2021,56.86
85041,2022,53.64
85041,2023,48.42
85042,2018,57.67
85042,2019,56.76
85042,2020,51.71
85042,2021,56.86
85042,2022,53.64
85042,2023,48.42
85043,2018,57.67
85043,2019,56.76
85043,2020,51.71
85043,2021,56.86
85043,2022,53.64
85043,2023,48.42
85044,2018,57.67
85044,2019,56.76
85044,2020,51.71
85044,2021,56.86
85044,2022,53.64
85044,2023,48.42
85045,2018,57.67
85045,2019,56.76
85045,2020,51.71
85045,2021,56.86
85045,2022,53.64
85045,2023,48.42
85046,2018,57.67
85046,2019,56.76
85046,2020,51.71
85046,2021,56.86
85046,2022,53.64
85046,2023,48.42
85048,2018,57.67
85048,2019,56.76
85048,2020,51.71
85048,2021,56.86
85048,2022,53.64
85048,2023,48.42
85050,2018,57.67
85050,2019,56.76
85050,2020,51.71
85050,2021,56.86
85050,2022,53.64
85050,2023,48.42
85051,2018,57.67
85051,2019,56.76
85051,2020,51.71
85051,2021,56.86
85051,2022,53.64
85051,2023,48.42
85053,2018,57.67
85053,2019,56.76
85053,2020,51.71
85053,2021,56.86
85053,2022,53.64
85053,2023,48.42
85054,2018,57.67
85054,2019,56.76
85054,2020,51.71
85054,2021,56.86
85054,2022,53.64
85054,2023,48.42
85055,2018,55.56
85055,2019,54.57
85055,2020,49.62
85055,2021,54.65
85055,2022,51.74
85055,2023,46.73
85060,2018,57.67
85060,2019,56.76
85060,2020,51.71
85060,2021,56.86
85060,2022,53.64
85060,2023,48.42
85061,2018,57.67
85061,2019,56.76
85061,2020,51.71
85061,2021,56.86
85061,2022,53.64
85061,2023,48.42
85062,2018,57.67
85062,2019,56.76
85062,2020,51.71
85062,2021,56.86
85062,2022,53.64
85062,2023,48.42
85063,2018,57.67
85063,2019,56.76
85063,2020,51.71
85063,2021,56.86
85063,2022,53.64
85063,2023,48.42
85064,2018,57.67
85064,2019,56.76
85064,2020,51.71
85064,2021,56.86
85064,2022,53.64
85064,2023,48.42
85065,2018,55.56
85065,2019,54.57
85065,2020,49.62
85065,2021,54.65
85065,2022,51.74
85065,2023,46.73
85066,2018,57.67
85066,2019,56.76
85066,2020,51.71
85066,2021,56.86
85066,2022,53.64
85066,2023,48.42
85067,2018,57.67
85067,2019,56.76
85067,2020,51.71
85067,2021,56.86
85067,2022,53.64
85067,2023,48.42
85068,2018,57.67
85068,2019,56.76
85068,2020,51.71
85068,2021,56.86
85068,2022,53.64
85068,2023,48.42
85069,2018,57.67
85069,2019,56.76
85069,2020,51.71
85069,2021,56.86
85069,2022,53.64
85069,2023,48.42
85070,2018,57.67
85070,2019,56.76
85070,2020,51.71
85070,2021,56.86
85070,2022,53.64
85070,2023,48.42
85071,2018,57.67
85071,2019,56.76
85071,2020,51.71
85071,2021,56.86
85071,2022,53.64
85071,2023,48.42
85072,2018,57.67
85072,2019,56.76
85072,2020,51.71
85072,2021,56.86
85072,2022,53.64
85072,2023,48.42
85073,2018,55.56
85073,2019,54.57
85073,2020,49.62
85073,2021,54.65
85073,2022,51.74
85073,2023,46.73
85074,2018,57.67
85074,2019,56.76
85074,2020,51.71
85074,2021,56.86
85074,2022,53.64
85074,2023,48.42
85075,2018,55.56
85075,2019,54.57
85075,2020,49.62
85075,2021,54.65
85075,2022,51.74
85075,2023,46.73
85076,2018,57.67
85076,2019,56.76
85076,2020,51.71
85076,2021,56.86
85076,2022,53.64
85076,2023,48.42
85077,2018,55.56
85077,2019,54.57
85077,2020,49.62
85077,2021,54.65
85077,2022,51.74
85077,2023,46.73
85078,2018,57.67
85078,2019,56.76
85078,2020,51.71
85078,2021,56.86
85078,2022,53.64
85078,2023,48.42
85079,2018,57.67
85079,2019,56.76
85079,2020,51.71
85079,2021,56.86
85079,2022,53.64
85079,2023,48.42
85080,2018,57.67
85080,2019,56.76
85080,2020,51.71
85080,2021,56.86
85080,2022,53.64
85080,2023,48.42
85082,2018,57.67
85082,2019,56.76
85082,2020,51.71
85082,2021,56.86
85082,2022,53.64
85082,2023,48.42
85083,2018,57.67
85083,2019,56.76
85083,2020,51.71
85083,2021,56.86
85083,2022,53.64
85083,2023,48.42
85085,2018,57.67
85085,2019,56.76
85085,2020,51.71
85085,2021,56.86
85085,2022,53.64
85085,2023,48.42
85086,2018,57.67
85086,2019,56.76
85086,2020,51.71
85086,2021,56.86
85086,2022,53.64
85086,2023,48.42
85087,2018,57.67
85087,2019,56.76
85087,2020,51.71
85087,2021,56.86
85087,2022,53.64
85087,2023,48.42
85097,2018,55.56
85097,2019,54.57
85097,2020,49.62
85097,2021,54.65
85097,2022,51.74
85097,2023,46.73
85098,2018,55.56
85098,2019,54.57
85098,2020,49.62
85098,2021,54.65
85098,2022,51.74
85098,2023,46.73
85099,2018,55.56
85099,2019,54.57
85099,2020,49.62
85099,2021,54.65
85099,2022,51.74
85099,2023,46.73
85117,2018,36.89
85117,2019,38.06
85117,2020,33.94
85117,2021,33.94
85117,2022,42.04
85117,2023,40.62
85118,2018,36.89
85118,2019,38.06
85118,2020,33.94
85118,2021,33.94
85118,2022,42.04
85118,2023,40.62
85119,2018,39.0
85119,2019,40.25
85119,2020,36.03
85119,2021,36.15
85119,2022,43.94
85119,2023,42.31
85120,2018,39.0
85120,2019,40.25
85120,2020,36.03
85120,2021,36.15
85120,2022,43.94
85120,2023,42.31
85121,2018,5.94
85121,2019,5.11
85121,2020,5.38
85121,2021,6.39
85121,2022,6.13
85121,2023,5.47
85122,2018,49.74
85122,2019,44.53
85122,2020,44.23
85122,2021,50.77
85122,2022,59.08
85122,2023,48.31
85123,2018,5.94
85123,2019,5.11
85123,2020,5.38
85123,2021,6.39
85123,2022,6.13
85123,2023,5.47
85127,2018,2.11
85127,2019,2.19
85127,2020,2.09
85127,2021,2.21
85127,2022,1.9
85127,2023,1.69
85128,2018,58.5
85128,2019,55.59
85128,2020,47.79
85128,2021,45.43
85128,2022,52.32
85128,2023,37.0
85130,2018,49.74
85130,2019,44.53
85130,2020,44.23
85130,2021,50.77
85130,2022,59.08
85130,2023,48.31
85131,2018,41.0
85131,2019,39.94
85131,2020,7.35
85131,2021,45.55
85131,2022,40.42
85131,2023,32.35
85132,2018,14.66
85132,2019,11.83
85132,2020,12.0
85132,2021,13.72
85132,2022,15.71
85132,2023,15.14
85135,2018,120.49
85135,2019,112.57
85135,2020,59.84
85135,2021,12.69
85135,2022,9.97
85135,2023,4.82
85137,2018,20.97
85137,2019,18.0
85137,2020,5.38
85137,2021,6.39
85137,2022,6.13
85137,2023,5.47
85138,2018,22.74
85138,2019,20.16
85138,2020,22.07
85138,2021,22.02
85138,2022,21.3
85138,2023,23.97
85139,2018,24.85
85139,2019,22.35
85139,2020,24.16
85139,2021,24.23
85139,2022,23.2
85139,2023,25.66
85140,2018,5.94
85140,2019,5.11
85140,2020,5.38
85140,2021,6.39
85140,2022,6.13
85140,2023,5.47
85141,2018,5.94
85141,2019,5.11
85141,2020,5.38
85141,2021,6.39
85141,2022,6.13
85141,2023,5.47
85142,2018,8.05
85142,2019,7.3
85142,2020,7.47
85142,2021,8.6
85142,2022,8.03
85142,2023,7.16
85143,2018,5.94
85143,2019,5.11
85143,2020,5.38
85143,2021,6.39
85143,2022,6.13
85143,2023,5.47
85144,2018,5.94
85144,2019,5.11
85144,2020,5.38
85144,2021,6.39
85144,2022,6.13
85144,2023,5.47
85145,2018,5.94
85145,2019,5.11
85145,2020,5.38
85145,2021,6.39
85145,2022,6.13
85145,2023,5.47
85147,2018,5.94
85147,2019,5.11
85147,2020,5.38
85147,2021,6.39
85147,2022,6.13
85147,2023,5.47
85172,2018,5.94
85172,2019,5.11
85172,2020,5.38
85172,2021,6.39
85172,2022,6.13
85172,2023,5.47
85173,2018,41.39
85173,2019,43.53
85173,2020,42.9
85173,2021,50.06
85173,2022,63.72
85173,2023,67.0
85178,2018,36.89
85178,2019,38.06
85178,2020,33.94
85178,2021,33.94
85178,2022,42.04
85178,2023,40.62
85179,2018,8.72
85179,2019,6.72
85179,2020,6.62
85179,2021,7.33
85179,2022,9.58
85179,2023,9.67
85191,2018,5.94
85191,2019,5.11
85191,2020,5.38
85191,2021,6.39
85191,2022,6.13
85191,2023,5.47
85192,2018,21.06
85192,2019,20.56
85192,2020,20.07
85192,2021,19.08
85192,2022,16.1
85192,2023,10.29
85193,2018,49.74
85193,2019,44.53
85193,2020,44.23
85193,2021,50.77
85193,2022,59.08
85193,2023,48.31
85194,2018,49.74
85194,2019,44.53
85194,2020,44.23
85194,2021,50.77
85194,2022,59.08
85194,2023,48.31
85201,2018,34.33
85201,2019,34.2
85201,2020,33.97
85201,2021,35.39
85201,2022,34.08
85201,2023,34.17
85202,2018,34.33
85202,2019,34.2
85202,2020,33.97
85202,2021,35.39
85202,2022,34.08
85202,2023,34.17
85203,2018,34.33
85203,2019,34.2
85203,2020,33.97
85203,2021,35.39
85203,2022,34.08
85203,2023,34.17
85204,2018,34.33
85204,2019,34.2
85204,2020,33.97
85204,2021,35.39
85204,2022,34.08
85204,2023,34.17
85205,2018,34.33
85205,2019,34.2
85205,2020,33.97
85205,2021,35.39
85205,2022,34.08
85205,2023,34.17
85206,2018,34.33
85206,2019,34.2
85206,2020,33.97
85206,2021,35.39
85206,2022,34.08
85206,2023,34.17
85207,2018,34.33
85207,2019,34.2
85207,2020,33.97
85207,2021,35.39
85207,2022,34.08
85207,2023,34.17
85208,2018,34.33
85208,2019,34.2
85208,2020,33.97
85208,2021,35.39
85208,2022,34.08
85208,2023,34.17
85209,2018,34.33
85209,2019,34.2
85209,2020,33.97
85209,2021,35.39
85209,2022,34.08
85209,2023,34.17
85210,2018,34.33
85210,2019,34.2
85210,2020,33.97
85210,2021,35.39
85210,2022,34.08
85210,2023,34.17
85211,2018,34.33
85211,2019,34.2
85211,2020,33.97
85211,2021,35.39
85211,2022,34.08
85211,2023,34.17
85212,2018,40.27
85212,2019,39.31
85212,2020,39.35
85212,2021,41.78
85212,2022,40.21
85212,2023,39.64
85213,2018,34.33
85213,2019,34.2
85213,2020,33.97
85213,2021,35.39
85213,2022,34.08
85213,2023,34.17
85214,2018,34.33
85214,2019,34.2
85214,2020,33.97
85214,2021,35.39
85214,2022,34.08
85214,2023,34.17
85215,2018,34.33
85215,2019,34.2
85215,2020,33.97
85215,2021,35.39
85215,2022,34.08
85215,2023,34.17
85216,2018,34.33
85216,2019,34.2
85216,2020,33.97
85216,2021,35.39
85216,2022,34.08
85216,2023,34.17
85224,2018,33.45
85224,2019,32.57
85224,2020,31.1
85224,2021,29.37
85224,2022,30.23
85224,2023,25.89
85225,2018,33.45
85225,2019,32.57
85225,2020,31.1
85225,2021,29.37
85225,2022,30.23
85225,2023,25.89
85226,2018,33.45
85226,2019,32.57
85226,2020,31.1
85226,2021,29.37
85226,2022,30.23
85226,2023,25.89
85227,2018,31.34
85227,2019,30.38
85227,2020,29.01
85227,2021,27.16
85227,2022,28.33
85227,2023,24.2
85233,2018,22.36
85233,2019,21.33
85233,2020,21.78
85233,2021,21.07
85233,2022,20.33
85233,2023,20.05
85234,2018,22.36
85234,2019,21.33
85234,2020,21.78
85234,2021,21.07
85234,2022,20.33
85234,2023,20.05
85235,2018,105.37
85235,2019,97.12
85235,2020,45.15
85235,2021,N/A
85235,2022,N/A
85235,2023,N/A
85236,2018,2.11
85236,2019,2.19
85236,2020,2.09
85236,2021,2.21
85236,2022,1.9
85236,2023,1.69
85244,2018,33.45
85244,2019,32.57
85244,2020,31.1
85244,2021,29.37
85244,2022,30.23
85244,2023,25.89
85246,2018,33.45
85246,2019,32.57
85246,2020,31.1
85246,2021,29.37
85246,2022,30.23
85246,2023,25.89
85248,2018,39.39
85248,2019,37.68
85248,2020,36.48
85248,2021,35.76
85248,2022,36.36
85248,2023,31.36
85249,2018,33.45
85249,2019,32.57
85249,2020,31.1
85249,2021,29.37
85249,2022,30.23
85249,2023,25.89
85250,2018,31.84
85250,2019,29.53
85250,2020,28.87
85250,2021,35.28
85250,2022,33.7
85250,2023,33.02
85251,2018,31.84
85251,2019,29.53
85251,2020,28.87
85251,2021,35.28
85251,2022,33.7
85251,2023,33.02
85252,2018,31.84
85252,2019,29.53
85252,2020,28.87
85252,2021,35.28
85252,2022,33.7
85252,2023,33.02
85253,2018,47.9
85253,2019,43.17
85253,2020,47.01
85253,2021,53.19
85253,2022,51.01
85253,2023,48.87
85254,2018,31.84
85254,2019,29.53
85254,2020,28.87
85254,2021,35.28
85254,2022,33.7
85254,2023,33.02
85255,2018,31.84
85255,2019,29.53
85255,2020,28.87
85255,2021,35.28
85255,2022,33.7
85255,2023,33.02
85256,2018,31.84
85256,2019,29.53
85256,2020,28.87
85256,2021,35.28
85256,2022,33.7
85256,2023,33.02
85257,2018,31.84
85257,2019,29.53
85257,2020,28.87
85257,2021,35.28
85257,2022,33.7
85257,2023,33.02
85258,2018,31.84
85258,2019,29.53
85258,2020,28.87
85258,2021,35.28
85258,2022,33.7
85258,2023,33.02
85259,2018,31.84
85259,2019,29.53
85259,2020,28.87
85259,2021,35.28
85259,2022,33.7
85259,2023,33.02
85260,2018,31.84
85260,2019,29.53
85260,2020,28.87
85260,2021,35.28
85260,2022,33.7
85260,2023,33.02
85261,2018,31.84
85261,2019,29.53
85261,2020,28.87
85261,2021,35.28
85261,2022,33.7
85261,2023,33.02
85262,2018,31.84
85262,2019,29.53
85262,2020,28.87
85262,2021,35.28
85262,2022,33.7
85262,2023,33.02
85263,2018,31.84
85263,2019,29.53
85263,2020,28.87
85263,2021,35.28
85263,2022,33.7
85263,2023,33.02
85264,2018,31.84
85264,2019,29.53
85264,2020,28.87
85264,2021,35.28
85264,2022,33.7
85264,2023,33.02
85266,2018,31.84
85266,2019,29.53
85266,2020,28.87
85266,2021,35.28
85266,2022,33.7
85266,2023,33.02
85267,2018,31.84
85267,2019,29.53
85267,2020,28.87
85267,2021,35.28
85267,2022,33.7
85267,2023,33.02
85268,2018,31.84
85268,2019,29.53
85268,2020,28.87
85268,2021,35.28
85268,2022,33.7
85268,2023,33.02
85269,2018,31.84
85269,2019,29.53
85269,2020,28.87
85269,2021,35.28
85269,2022,33.7
85269,2023,33.02
85271,2018,31.84
85271,2019,29.53
85271,2020,28.87
85271,2021,35.28
85271,2022,33.7
85271,2023,33.02
85274,2018,34.33
85274,2019,34.2
85274,2020,33.97
85274,2021,35.39
85274,2022,34.08
85274,2023,34.17
85275,2018,34.33
85275,2019,34.2
85275,2020,33.97
85275,2021,35.39
85275,2022,34.08
85275,2023,34.17
85277,2018,34.33
85277,2019,34.2
85277,2020,33.97
85277,2021,35.39
85277,2022,34.08
85277,2023,34.17
85280,2018,68.2
85280,2019,64.49
85280,2020,63.19
85280,2021,76.55
85280,2022,77.55
85280,2023,64.83
85281,2018,68.2
85281,2019,64.49
85281,2020,63.19
85281,2021,76.55
85281,2022,77.55
85281,2023,64.83
85282,2018,68.2
85282,2019,64.49
85282,2020,63.19
85282,2021,76.55
85282,2022,77.55
85282,2023,64.83
85283,2018,68.2
85283,2019,64.49
85283,2020,63.19
85283,2021,76.55
85283,2022,77.55
85283,2023,64.83
85284,2018,68.2
85284,2019,64.49
85284,2020,63.19
85284,2021,76.55
85284,2022,77.55
85284,2023,64.83
85285,2018,68.2
85285,2019,64.49
85285,2020,63.19
85285,2021,76.55
85285,2022,77.55
85285,2023,64.83
85286,2018,33.45
85286,2019,32.57
85286,2020,31.1
85286,2021,29.37
85286,2022,30.23
85286,2023,25.89
85287,2018,68.2
85287,2019,64.49
85287,2020,63.19
85287,2021,76.55
85287,2022,77.55
85287,2023,64.83
85288,2018,68.2
85288,2019,64.49
85288,2020,63.19
85288,2021,76.55
85288,2022,77.55
85288,2023,64.83
85289,2018,66.09
85289,2019,62.3
85289,2020,61.1
85289,2021,74.34
85289,2022,75.65
85289,2023,63.14
85295,2018,22.36
85295,2019,21.33
85295,2020,21.78
85295,2021,21.07
85295,2022,20.33
85295,2023,20.05
85296,2018,22.36
85296,2019,21.33
85296,2020,21.78
85296,2021,21.07
